Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Post Posts,,,,12-02-2024 15:39:07,12-02-2024 15:39:19,12.366s,PASSED
,,,,,,,
Test Cases/Post Posts,,,,12-02-2024 15:39:07,12-02-2024 15:39:16,8.698s,PASSED
"sendRequestAndVerify(findTestObject(""Post Posts"", [""title"":""foo"", ""body"":""bar"", ""userId"":1]))",,,,12-02-2024 15:39:08,12-02-2024 15:39:14,5.784s,PASSED
Video,,,,12-02-2024 15:39:16,12-02-2024 15:39:16,0.001s,PASSED
,,,,,,,
Test Cases/Post Posts2,,,,12-02-2024 15:39:16,12-02-2024 15:39:19,3.271s,PASSED
"sendRequest(findTestObject(""Post Posts2"", [""title"":""foo"", ""body"":""bar"", ""userId"":2]))",,,,12-02-2024 15:39:16,12-02-2024 15:39:17,1.112s,PASSED
Video,,,,12-02-2024 15:39:19,12-02-2024 15:39:19,0.000s,PASSED
